"Wavenumber","2.6.1A","3.8.1A","5.10.1A","5.9.1A","6.5.1A"
"5.25E+2","7.43E-2","3.16E-2","2.03E-2","5.95E-2","6.38E-2"
"5.26E+2","8.92E-2","2.20E-2","2.19E-2","4.79E-2","7.82E-2"
"5.26E+2","1.02E-1","1.80E-2","2.39E-2","4.33E-2","8.46E-2"
"5.26E+2","1.08E-1","1.77E-2","2.38E-2","4.38E-2","8.31E-2"
"5.27E+2","1.05E-1","1.97E-2","2.25E-2","4.60E-2","7.76E-2"
"5.27E+2","9.34E-2","2.32E-2","1.83E-2","4.96E-2","6.84E-2"
"5.28E+2","7.59E-2","2.54E-2","1.43E-2","5.29E-2","6.11E-2"
"5.28E+2","5.50E-2","2.88E-2","1.25E-2","5.50E-2","5.46E-2"
"5.29E+2","3.41E-2","3.22E-2","1.20E-2","5.62E-2","4.95E-2"
"5.29E+2","1.63E-2","3.52E-2","1.22E-2","5.67E-2","4.47E-2"
"5.30E+2","4.36E-3","3.70E-2","1.20E-2","5.66E-2","3.90E-2"
"5.30E+2","0.00E+0","3.77E-2","1.08E-2","5.61E-2","3.21E-2"
"5.31E+2","3.00E-3","3.79E-2","8.40E-3","5.60E-2","2.45E-2"
"5.31E+2","1.15E-2","3.87E-2","5.43E-3","5.67E-2","1.76E-2"
"5.32E+2","2.26E-2","4.11E-2","2.60E-3","5.83E-2","1.28E-2"
"5.32E+2","3.33E-2","4.53E-2","6.76E-4","6.06E-2","1.12E-2"
"5.33E+2","4.06E-2","5.10E-2","0.00E+0","6.30E-2","1.28E-2"
"5.33E+2","4.31E-2","5.65E-2","3.59E-4","6.45E-2","1.63E-2"
"5.34E+2","4.05E-2","5.99E-2","1.37E-3","6.44E-2","2.02E-2"
"5.34E+2","3.45E-2","5.98E-2","2.78E-3","6.23E-2","2.25E-2"
"5.35E+2","2.75E-2","5.61E-2","4.62E-3","5.89E-2","2.18E-2"
"5.35E+2","2.21E-2","4.95E-2","7.24E-3","5.55E-2","1.81E-2"
"5.36E+2","1.99E-2","4.19E-2","1.11E-2","5.37E-2","1.22E-2"
"5.36E+2","2.13E-2","3.53E-2","1.66E-2","5.46E-2","6.18E-3"
"5.37E+2","2.53E-2","3.13E-2","2.35E-2","5.86E-2","1.69E-3"
"5.37E+2","3.04E-2","3.01E-2","3.10E-2","6.48E-2","0.00E+0"
"5.38E+2","3.52E-2","3.11E-2","3.77E-2","7.14E-2","1.49E-3"
"5.38E+2","3.84E-2","3.28E-2","4.26E-2","7.63E-2","5.60E-3"
"5.39E+2","3.93E-2","3.40E-2","4.52E-2","7.80E-2","1.11E-2"
"5.39E+2","3.80E-2","3.47E-2","4.78E-2","7.53E-2","1.64E-2"
"5.39E+2","3.48E-2","3.21E-2","4.76E-2","7.02E-2","2.29E-2"
"5.40E+2","3.01E-2","2.97E-2","4.65E-2","6.34E-2","2.75E-2"
"5.40E+2","2.47E-2","2.73E-2","4.61E-2","5.61E-2","3.14E-2"
"5.41E+2","1.93E-2","2.58E-2","4.71E-2","4.96E-2","3.49E-2"
"5.41E+2","1.49E-2","2.65E-2","4.82E-2","4.51E-2","3.70E-2"
"5.42E+2","1.24E-2","2.71E-2","5.14E-2","4.24E-2","4.05E-2"
"5.42E+2","1.26E-2","2.95E-2","5.72E-2","4.08E-2","4.26E-2"
"5.43E+2","1.58E-2","3.23E-2","6.39E-2","4.08E-2","4.41E-2"
"5.43E+2","2.14E-2","3.43E-2","7.06E-2","4.22E-2","4.52E-2"
"5.44E+2","2.83E-2","3.45E-2","7.81E-2","4.37E-2","4.96E-2"
"5.44E+2","3.44E-2","3.26E-2","8.19E-2","4.67E-2","5.28E-2"
"5.45E+2","3.79E-2","2.82E-2","8.24E-2","4.95E-2","5.78E-2"
"5.45E+2","3.75E-2","2.18E-2","7.82E-2","5.15E-2","6.33E-2"
"5.46E+2","3.31E-2","1.41E-2","7.22E-2","5.05E-2","7.27E-2"
"5.46E+2","2.56E-2","7.71E-3","6.44E-2","4.73E-2","8.05E-2"
